id,municipio,municipio_uf,latitude,longitude,uf
4746,AMERICO DE CAMPOS,AMERICO DE CAMPOS - SP,-20.29,-49.73,SP
3900,AMETISTA DO SUL,AMETISTA DO SUL - RS,-27.36,-53.18,RS
625,AMONTADA,AMONTADA - CE,-3.49,-39.57,CE
893,AMORINOPOLIS,AMORINOPOLIS - GO,-16.61,-51.09,GO
2545,AMPARO,AMPARO - PB,-7.56,-37.06,PB
4747,AMPARO,AMPARO - SP,-22.7,-46.76,SP
4651,AMPARO DE SAO FRANCISCO,AMPARO DE SAO FRANCISCO - SE,-10.13,-36.93,SE
1365,AMPARO DO SERRA,AMPARO DO SERRA - MG,-20.5,-42.8,MG
3176,AMPERE,AMPERE - PR,-25.91,-53.47,PR
24,ANADIA,ANADIA - AL,-9.68,-36.3,AL
214,ANAGE,ANAGE - BA,-14.61,-41.13,BA
3177,ANAHY,ANAHY - PR,-24.71,-53.08,PR
2402,ANAJAS,ANAJAS - PA,-0.98,-49.94,PA
1132,ANAJATUBA,ANAJATUBA - MA,-3.26,-44.62,MA
4748,ANALANDIA,ANALANDIA - SP,-22.12,-47.66,SP
126,ANAMA,ANAMA - AM,-3.58,-61.4,AM
5376,ANANAS,ANANAS - TO,-6.36,-48.07,TO
2403,ANANINDEUA,ANANINDEUA - PA,-1.36,-48.37,PA
894,ANAPOLIS,ANAPOLIS - GO,-16.32,-48.95,GO
2404,ANAPU,ANAPU - PA,-3.47,-51.19,PA
1133,ANAPURUS,ANAPURUS - MA,-3.67,-43.11,MA
2194,ANASTACIO,ANASTACIO - MS,-20.48,-55.8,MS
2195,ANAURILANDIA,ANAURILANDIA - MS,-22.18,-52.71,MS
808,ANCHIETA,ANCHIETA - ES,-20.79,-40.65,ES
4368,ANCHIETA,ANCHIETA - SC,-26.53,-53.33,SC
215,ANDARAI,ANDARAI - BA,-12.8,-41.33,BA
3178,ANDIRA,ANDIRA - PR,-23.05,-50.22,PR
216,ANDORINHA,ANDORINHA - BA,-10.34,-39.83,BA
1366,ANDRADAS,ANDRADAS - MG,-22.06,-46.56,MG
4749,ANDRADINA,ANDRADINA - SP,-20.89,-51.37,SP
